,Length,Width,Height,Gender
0,98,81,38,female
1,103,84,38,female
2,103,86,42,female
3,105,86,42,female
4,109,88,44,female
5,123,92,50,female
6,123,95,46,female
7,133,99,51,female
8,133,102,51,female
9,133,102,51,female
10,134,100,48,female
11,136,102,49,female
12,138,98,51,female
13,138,99,51,female
14,141,105,53,female
15,147,108,57,female
16,149,107,55,female
17,153,107,56,female
18,155,115,63,female
19,155,117,60,female
20,158,115,62,female
21,159,118,63,female
22,162,124,61,female
23,177,132,67,female
24,93,74,37,male
25,94,78,35,male
26,96,80,35,male
27,101,84,39,male
28,102,85,38,male
29,103,81,37,male
30,104,83,39,male
31,106,83,39,male
32,107,82,38,male
33,112,89,40,male
34,113,88,40,male
35,114,86,40,male
36,116,90,43,male
37,117,90,41,male
38,117,91,41,male
39,119,93,41,male
40,120,89,40,male
41,120,93,44,male
42,121,95,42,male
43,125,93,45,male
44,127,96,45,male
45,128,95,45,male
46,131,95,46,male
47,135,106,47,male
