product_id,category,sub_category,user,rating,comment
588,Thời Trang Nam,Quần jeans,quyenanh99x,5,chất lượng sản phẩm  tốt
1333,Thời Trang Nam,Đồ lót,hoai_anh2992,5,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt, Rất đáng tiền, Thời gian giao hàng rất nhanh"
1671,Thời Trang Nam,Đồ Bộ,r*****5,5,", Chất lượng sản phẩm tuyệt vời"
320,Thời Trang Nam,Áo,thanhvui.mt,5,Đóng gói giao hàng nhanh. Chất lượng tốt trong tầm giá. Nên mua
871,Thời Trang Nam,Đồ lót,t*****8,5,", Đóng gói sản phẩm rất đẹp và chắc chắn"
123,Thời Trang Nam,Quần Dài/Quần Âu,van_le111,5,"Mình mua bị chật nhưng shop nhiệt tình đồng ý cho mình đổi size rồi . Cảm ơn shop nhiều , sẽ ủng hộ nhiều lần nữa ạ 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰"
1035,Thời Trang Nam,Áo Khoác,nhqdth,5,Áo đẹp dày dặn giống hình nha 
547,Thời Trang Nam,"Áo Hoodie, Áo Len & Áo Nỉ",khanhhhlinhhh000,5,Hơi mỏng nhưng cũng k sao:))))) udytdotdortsgihffufufufuguguuggugugiguiggugutf
577,Thời Trang Nam,Khác,nguyenthanhdong1996,5,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn"
309,Thời Trang Nam,Áo,p*****5,5,Phải đi làm nên không thể nói được gì cho mình hỏi thăm thì nó cũng là một số người trong cuộc đời mình 
15,Thời Trang Nam,Quần Short,p*****9,5,"Sản phẩm tốt, giá quá rẻ, shop lại còn tặng thêm 20c kẹo vị muối ớt nữa, sẽ ủng hộ shop thêm nhiều lần❤️"
1500,Thời Trang Nam,Vớ/ Tất,n*****g,5,", Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt"
515,Thời Trang Nam,Quần Short,babyanhday,5,Chất lượng nói chung là ổn. Vừa túi tiền.
71,Thời Trang Nam,"Áo Hoodie, Áo Len & Áo Nỉ",p*****j,5,Áo này xinh đấy
2500,Thời Trang Nam,Đồ Bộ,trankhanhphuong3011,5,", Chất lượng sản phẩm tuyệt vời"
283,Thời Trang Nam,"Áo Hoodie, Áo Len & Áo Nỉ",nguyenmai28x,5,"không uổng công đơn hàng mình mong mỏi nhất. Form rộng nên mặc đã lắm, siêu thích nên phải đánh giá cho shop"
489,Thời Trang Nam,Quần Short,83kp6jaknf,5,Thời gian giao hàng nhanh nhân viên tư vấn nhiệt tình mình rất hài lòng về shop
71,Thời Trang Nam,Áo Ba Lỗ,nskosndl,5,"Ưng nhé TUYỂN KĨ SƯ  : CƠ KHÍ, Ô TÔ, IT,  HOÁ HỌC  làm việc tại  CHIBA, GIÙ, OKAYAMA .
🍃Nội dung : sản xuất linh kiện điện tử cho hãng xe ô tô TOYOTA
🍃Lương 20 man chưa tính làm thêm .
🍃Tăng lương dựa theo năng lực 
🍃 Hưởng bảo hiểm theo quy định  của NHẬT 
🍃Công việc nghỉ: chủ Nhật và lịch đỏ"
926,Thời Trang Nam,"Áo Hoodie, Áo Len & Áo Nỉ",lanmoon97,5,"Sản phẩm tốt chất lượng, áo dày ấm, tất dày dặn mang thể thao hay đi hàng ngày đều ok, giá lại hợp lý nữa. Shop phục vụ tốt, CSKH tốt. Nói chung là rất ưng luôn ý."
773,Thời Trang Nam,Quần Dài/Quần Âu,dove1603,5,", Chất lượng sản phẩm tuyệt vời, Rất đáng tiền"
362,Thời Trang Nam,Quần Dài/Quần Âu,phamtuan_qninh,5,Hàng OK lắm Giao hàng Chuẩn 
103,Thời Trang Nam,Quần Dài/Quần Âu,cuongngan2525._,5,"Hàng đẹp Shops tư vẫn sz nhận dc hàng mặc vừa luôn.nhưng vải hơi mỏng,vẫn cho Shops 5 sao.shop tư vẫn nhiệt tình............................................"
3547,Thời Trang Nam,Vớ/ Tất,nanii0909,5,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Rất đáng tiền, Thời gian giao hàng rất nhanh"
627,Thời Trang Nam,Áo,locnguyen212,5,"Sản phẩm tuyệt vời , khá là ưng ý , chất lượng 👍🏻👍🏻👍🏻"
1891,Thời Trang Nam,Đồ Bộ,h*****w,5,", Chất lượng sản phẩm tuyệt vời, Shop phục vụ rất tốt, Rất đáng tiền"
55,Thời Trang Nam,Đồ ngủ,hung_thuy_phi,5,Săn sale rẻ. Hàng đẹp. Ck mình 1m72 nặng 52kg mặc vừa in. Tks shop
1217,Thời Trang Nam,Áo,daosangsang,5,Sản phẩm khá đẹp. Giao hàng cũng nhanh
843,Thời Trang Nam,Áo,van.quang.fsa,5,Hàng ổn áp lắm. Hình ảnh mang tính chất nhận xu
135,Thời Trang Nam,Vớ/ Tất,duongthitrang98,5,", Chất lượng sản phẩm tuyệt vời"
742,Thời Trang Nam,Quần Dài/Quần Âu,hoaiquangbinh123,5,Giá thành phụ hợp chất ok
607,Thời Trang Nam,Quần Dài/Quần Âu,phbtran17,5,Tốt
168,Thời Trang Nam,Đồ lót,duonghonaduc,5,Hình ảnh đẹp lắm quần mìn nè chats lượng thì oke. Không biết mặc đến bao lâu. Có hiệu ck nữa thì tuyệt với luôn á 
646,Thời Trang Nam,Áo,l*****3,5,Sản phẩm phu hợp giá tiền. Đánh giá 5***********************
337,Thời Trang Nam,Áo Khoác,nautnart,5,Sản phẩm như hình chất lượng tốt.  Shop dễ thương sẽ ung hộ tiếp lần sau. 
4178,Thời Trang Nam,Vớ/ Tất,youngkim_cantho,5,", Chất lượng sản phẩm tuyệt vời"
784,Thời Trang Nam,Vớ/ Tất,nhat052345,5,", Chất lượng sản phẩm tuyệt vời"
4050,Thời Trang Nam,Đồ Bộ,yennhangqt786,5,", Chất lượng sản phẩm tuyệt vời"
1248,Thời Trang Nam,Áo,khanh_chi_2017,5,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt"
249,Thời Trang Nam,Quần Short,phuongphuong41292,5,"Giao hàng nhanh, đúng, đủ số lượng, chất lượng ok đảm bảo tốt."
1201,Thời Trang Nam,Áo Khoác,mmo8qbpzdp,5,"Áo đẹp,xinh"
120,Thời Trang Nam,Quần Short,thanh.thanh.98,5,"Đẹp, màu xám hơi dày nhưng có vẻ mặc vẫn mát .ổn
Jdkdvdjdkkskdkdj"
972,Thời Trang Nam,Áo,tiepbuipplo5883,5,"Đẹp , xịn , mặc dù đã đặt XL nhưng vẫn không rộng lắm , nếu muốn mặc rộng rộng thì nên đặt size lớn 1 chút , nhiều chỉ thừa ...."
140,Thời Trang Nam,Quần jeans,d*****4,5,Vải có giãn tốt form quần chuẩn đẹp shop bán hàng chuẩn chất lg ok cho shop 5 saooooo
288,Thời Trang Nam,Quần Short,tiemgaubongbexiu,5,"Quần okila nha nên mua nha mọi người, ny mình mặc hơi rộng chút nhưng ksao nè"
676,Thời Trang Nam,Áo Khoác,gin_my,5,"Áo đẹp giống hình, màu đen nha do chụp chá nắng quá."
