page_id,pro_idx,item_id,shop_id,product_name,category_name,number_rating,page_no,user_id,user_name,comment_id,created_time,user_rating,user_comment,user_tag_content
68,4099,7533954553,91303830,Sách Ehon - Combo 4 cuốn Bé thích ăn món nào nhỉ? - Ehon Nhật Bản dành cho trẻ từ 0-3 tuổi,Children's Books,70.0,0.0,507517476.0,vumaihuong2020,5761481675,1629633038.0,5.0,"Bé nhà mình rất thích và cũng rất hợp tác với mẹ,  cảm ơn shop rất nhiều ạ",|
40,2418,1270721073,55485833,Sách - Thơ Từ Những Hạt Mầm (trọn bộ 5 cuốn),Comics & Manga,68.0,3.0,27904753.0,s*****9,5695767420,1629091689.0,5.0,Sách đóng gói cẩn thận . Rất xinh đáng mua cho trẻ nghe tập đọc.,|
63,3792,4341233746,272432350,[Mã LIFEMC2010 giảm 10% đơn 150k] Sách - Tiếng Hàn Tổng Hợp Dành Cho Người Việt Nam Trình Độ Sơ Cấp Tập 1 - Bản Màu,Language Learning & Dictionaries,65.0,1.0,77586247.0,_*****_,6029765403,1631949279.0,5.0,"Nội dung sách hay, triển khai kiến thức rõ ràng, dễ hiểu. Tuy nhiên đơn hàng này giao khá lâu, mình vẫn châm trước rate 5 sao vì thông cảm lí do dịch bệnh. Độc giả nào không cần gấp có thể mua ạ.",|
58,3481,3414234213,162534564,Sách - Vòng quanh thế giới - bộ 30 quyển,Comics & Manga,82.0,1.0,42853902.0,lyngocdinh,5093646849,1623765303.0,5.0,Giao hàng lâu .sách bị cong gãy vài cuốnnnnnnnnnnnnnnnnnnn,|
61,3691,2854091277,46725128,Sách - Kỹ Năng Đi Trước Đam Mê (Tái Bản),Business & Investment,136.0,5.0,35438981.0,nhiyoyo,5136979761,1624159636.0,5.0,"Ok đẹp lắm nak shop ,giao hàng đúng mẫu , đóng gói tot ok , nên mua nha mng...",|
39,2395,5415062523,17944263,Sách-Bí quyết chinh phục điểm cao kỳ thi THPT Quốc gia môn Lịch sử,Education & School,86.0,3.0,63014191.0,thuthu2705,6281805230,1634210175.0,5.0,"Đóng gói hàng tỉ mỉ  , sách không bị hư hỏng gì , rất hài lòng ....",2*Chất lượng sản phẩm tuyệt vời|5*Đóng gói sản phẩm rất đẹp và chắc chắn
36,2179,1970604011,45194730,[Mã LIFEAZ2010 giảm 10% đơn 150k] Sách - Sống bản lĩnh theo cách một quý cô,"Careers, Self Help & Personal Development",165.0,4.0,305289711.0,lienpham1245,5659268083,1628775157.0,5.0,Khá là ưng ý nha còn được tặng quà xinh xắn lắm. Mỗi tội là sách hơi bị nhăn góc tí xíu.,|
28,1716,9951245650,242511295,Truyện Tranh - Dragon Ball Full Color - Phần 1 ( Tập 1 2 3 4 5 6 7 8 ) Kim Đồng,Comics & Manga,38.0,3.0,5015115.0,chan_phong_shop,5727804629,1629355171.0,5.0,Giao hàng siêu lâu. Chắc vậy nên thùng đựng bị rách. . Cũng may truyện đc bọc cẩn thận nên no problem. Vẫn cho Kim đồng 5*,|
21,1318,4435478306,15374634,Sách - Tử Huyệt Cảm Xúc - Ma Thuật Thôi Miên Bất Kỳ Ai Chỉ Bằng Lời Nói (Kèm Bookmark),"Careers, Self Help & Personal Development",281.0,7.0,304584319.0,linhvu668,5882084869,1630768165.0,5.0,"sách đẹp lắm ạ, shop gói hàng rất cẩn thận, vô cùng chu đáo. Cảm ơn shop nhiều",2*Chất lượng sản phẩm tuyệt vời|5*Đóng gói sản phẩm rất đẹp và chắc chắn|6*Shop phục vụ rất tốt
68,4137,91143683,2921062,Sách - Combo 4 cuốn Mẹ hỏi bé trả lời,Parenting & Family,112.0,0.0,39197076.0,mrhee8x,4242648402,1615188474.0,5.0,"Combo 4 quyển này to hơn lòng bàn tay 1 tí.Nhỏ hơn m nghĩ giá to 1 chút hơn thì phù hợp, như này bé quá. Màu in đẹp, mới nhìn sơ qua nội dung 1 quyển cũng thấy hay hay",|
58,3514,8648898164,219221151,Sách -  Nụ Hôn Trên Bàn Tay  board books (bìa cứng -lẻ cuốn),Comics & Manga,69.0,4.0,22385866.0,nguyenlananh2410,4899561772,1622011168.0,5.0,"Mang một vẻ đẹp độc đáo từ thiên nhiên, đá cuội được sử dụng phổ biến như một vật liệu trang trí sân vườn, tạo điểm nhấn, mang đến một không gian hài hòa với thiên nhiên.",|
66,3964,647951377,35584914,Sách - Complete IELTS bands 6.5-7.5 - Workbook,Language Learning & Dictionaries,58.0,3.0,353948471.0,n*****6,5094324478,1623770400.0,5.0,giao hàng nhanh . chất lượng sản phẩm tốt. đúng như hình . rất ưng ý,2*Chất lượng sản phẩm tuyệt vời|5*Đóng gói sản phẩm rất đẹp và chắc chắn|6*Shop phục vụ rất tốt|3*Rất đáng tiền|4*Thời gian giao hàng rất nhanh
1,83,7829893263,42973303, Sách - Giáo trình Hán ngữ phiên bản mới bộ 6 cuốn (lẻ tuỳ chọn),Language Learning & Dictionaries,821.0,4.0,25708323.0,giacmodautien,6178144813,1633345201.0,5.0,"Bạn không cần là bất cứ ai, hãy là chính mình. Đầu tiên, hãy xinh đẹp và hạnh phúc rồi đến thời điểm thích hợp sẽ có người vì nụ cười của bạn mà đánh đổi tất thảy giang sơn",|
