,comment,rating,label,comment_new
1,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt, Rất đáng tiền, Thời gian giao hàng rất nhanh",5,1,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp cửa tiệm phục_vụ tốt tiền thời hàng chóng
2,", Chất lượng sản phẩm tuyệt vời",5,1,chất_lượng sản_phẩm
3,Đóng gói giao hàng nhanh. Chất lượng tốt trong tầm giá. Nên mua,5,1,đóng gói hàng chất_lượng tốt tầm giá
4,", Đóng gói sản phẩm rất đẹp và chắc chắn",5,1,đóng gói sản_phẩm đẹp
5,"Mình mua bị chật nhưng shop nhiệt tình đồng ý cho mình đổi size rồi . Cảm ơn shop nhiều , sẽ ủng hộ nhiều lần nữa ạ 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰",5,1,chật cửa tiệm nhiệt_tình đồng_ý đổi kích_thước cửa tiệm ủng_hộ
6,Áo đẹp dày dặn giống hình nha ,5,1,áo đẹp dày_dặn hình
7,Hơi mỏng nhưng cũng k sao:))))) udytdotdortsgihffufufufuguguuggugugiguiggugutf,5,1,hơi mỏng không_udytdotdortsgihffufufufuguguuggugugiguiggugutf
8,", Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn",5,1,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp
9,Phải đi làm nên không thể nói được gì cho mình hỏi thăm thì nó cũng là một số người trong cuộc đời mình ,5,1,hỏi_thăm cuộc_đời
10,"Sản phẩm tốt, giá quá rẻ, shop lại còn tặng thêm 20c kẹo vị muối ớt nữa, sẽ ủng hộ shop thêm nhiều lần❤️",5,1,sản_phẩm tốt giá rẻ cửa tiệm tặng kẹo vị muối ớt ủng_hộ cửa tiệm lầnyêu
11,", Đóng gói sản phẩm rất đẹp và chắc chắn, Shop phục vụ rất tốt",5,1,đóng gói sản_phẩm đẹp cửa tiệm phục_vụ tốt
12,Chất lượng nói chung là ổn. Vừa túi tiền.,5,1,chất_lượng ổn túi tiền
15,"không uổng công đơn hàng mình mong mỏi nhất. Form rộng nên mặc đã lắm, siêu thích nên phải đánh giá cho shop",5,1,không_uổng_công đơn hàng mỏi form rộng mặc lắm thích cửa tiệm
