device_brand,os,screen_size,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,normalized_new_price,internet
Honor,Android,14.5,13.0,5.0,64.0,3.0,3020.0,146.0,2020,127,4.307572449,4.715100245,4g
Honor,Android,17.3,13.0,16.0,128.0,8.0,4300.0,213.0,2020,325,5.162096647,5.519017936,both
Honor,Android,16.69,13.0,8.0,128.0,8.0,4200.0,213.0,2020,162,5.111083765,5.884630724,both
Honor,Android,25.5,13.0,8.0,64.0,6.0,7250.0,480.0,2020,345,5.135386588,5.630960854,both
Honor,Android,15.32,13.0,8.0,64.0,3.0,5000.0,185.0,2020,293,4.389994804,4.947837479,4g
Honor,Android,16.23,13.0,8.0,64.0,4.0,4000.0,176.0,2020,223,4.413888608,5.060694494,4g
Honor,Android,13.84,8.0,5.0,32.0,2.0,3020.0,144.0,2020,234,3.878259375,4.518958489,4g
Honor,Android,15.77,13.0,8.0,64.0,4.0,3400.0,164.0,2020,219,4.729421148,5.18872569,4g
Honor,Android,15.32,13.0,16.0,128.0,6.0,4000.0,165.0,2020,161,4.886054204,5.299916088,4g
Honor,Android,16.23,13.0,8.0,128.0,6.0,4000.0,176.0,2020,327,4.773223771,5.073610093,4g
Honor,Android,15.47,13.0,8.0,64.0,3.0,3020.0,150.0,2020,268,4.26703657,4.713665782,4g
Honor,Android,15.32,13.0,8.0,64.0,4.0,5000.0,185.0,2020,344,4.657383057,4.770176021,4g
Honor,Android,16.69,13.0,16.0,128.0,8.0,4100.0,206.0,2019,537,5.383255763,6.213967894,both
Honor,Android,15.32,13.0,16.0,64.0,4.0,4000.0,171.5,2019,336,4.617592706,5.398750764,4g
Honor,Android,14.5,13.0,5.0,32.0,2.0,3020.0,146.0,2019,230,4.111365547,4.487512143,4g
Honor,Android,16.23,13.0,8.0,64.0,4.0,4000.0,176.0,2019,248,4.411221293,4.866225902,4g
Honor,Android,15.9,13.0,32.0,128.0,6.0,3750.0,172.0,2019,395,5.022366217,5.517934708,4g
Honor,Android,16.74,13.0,16.0,64.0,4.0,4000.0,206.0,2019,421,4.777020443,5.193179048,4g
Honor,Android,14.5,13.0,5.0,32.0,2.0,3020.0,146.0,2019,532,4.248638089,4.792313433,4g
Honor,Android,25.43,5.0,2.0,32.0,3.0,5100.0,173.0,2019,266,4.267877613,5.517051209,4g
Honor,Android,20.32,8.0,8.0,32.0,3.0,5100.0,173.0,2019,321,4.556295018,5.304001183,4g
Others,Android,20.32,8.0,0.3,16.0,1.0,5680.0,453.6,2013,933,4.45213555,5.48438191,no
HTC,Android,15.29,13.0,16.0,32.0,3.0,3850.0,170.0,2019,187,4.560800238,5.195730778,4g
HTC,Android,12.88,13.0,13.0,64.0,4.0,3075.0,150.0,2019,499,4.595624773,5.39771011,4g
HTC,Android,15.29,13.0,8.0,32.0,3.0,3300.0,160.0,2019,497,4.426521875,5.006091654,4g
HTC,Android,15.24,13.0,14.5,128.0,6.0,3930.0,180.0,2019,202,5.213467289,6.039968956,4g
HTC,Android,15.29,13.0,16.0,64.0,4.0,3850.0,170.0,2019,493,4.636668853,5.631426812,4g
Huawei,Android,15.37,10.5,16.0,128.0,6.0,4000.0,192.0,2020,91,4.905496976,5.520380334,both
Huawei,Android,15.37,10.5,16.0,64.0,6.0,4000.0,182.0,2020,299,4.820442843,5.39603374,both
Huawei,Android,15.32,10.5,16.0,128.0,4.0,4000.0,163.0,2020,354,4.577901759,5.558024257,4g
Huawei,Android,15.32,10.5,16.0,128.0,4.0,4000.0,163.0,2020,306,4.872828107,5.478970866,4g
Huawei,Android,20.32,5.0,2.0,16.0,2.0,5100.0,310.0,2020,231,4.170533701,4.598246271,4g
Huawei,Android,15.37,10.5,16.0,128.0,8.0,4000.0,189.0,2020,205,4.709440107,5.765661212,both
Huawei,Android,25.5,8.0,8.0,64.0,4.0,7250.0,450.0,2020,211,5.133088887,5.51877732,4g
Huawei,Android,16.71,10.5,16.0,256.0,8.0,4200.0,226.0,2020,120,6.153455837,7.244220373,both
Huawei,Android,16.23,10.5,8.0,64.0,4.0,4000.0,176.0,2020,161,4.644390899,5.0681492,4g
Huawei,Android,25.6,13.0,8.0,128.0,6.0,7250.0,460.0,2020,139,5.18245748,6.310336373,both
Huawei,Android,16.23,10.5,8.0,64.0,4.0,4000.0,176.0,2020,93,4.322143925,4.95342982,4g
Huawei,Android,16.74,13.0,16.0,128.0,6.0,4000.0,206.0,2019,460,5.065439086,5.672429397,4g
Huawei,Android,15.34,13.0,16.0,128.0,8.0,4200.0,183.0,2019,223,4.931375613,5.634110801,4g
Huawei,Android,25.6,13.0,8.0,128.0,6.0,7250.0,460.0,2019,256,4.997685135,6.107267847,4g
Huawei,Android,15.9,13.0,32.0,64.0,6.0,4000.0,178.0,2019,206,4.99653637,5.294560318,4g
Huawei,Android,15.32,13.0,16.0,64.0,6.0,4000.0,163.0,2019,488,4.537426534,5.306731865,4g
Huawei,Android,16.23,13.0,8.0,64.0,4.0,4000.0,176.0,2019,516,4.705286977,5.010968572,4g
Huawei,Android,16.59,13.0,16.0,512.0,12.0,4500.0,198.0,2019,289,5.674182005,7.438006989,both
Huawei,Android,16.81,13.0,16.0,128.0,6.0,4200.0,196.0,2019,477,5.380450196,6.477264628,both
Huawei,Android,16.81,13.0,16.0,128.0,6.0,4200.0,196.0,2019,195,5.014826499,6.313729189,4g
Huawei,Android,15.9,13.0,32.0,128.0,6.0,4000.0,178.0,2019,244,5.143474781,5.67029463,4g
Huawei,Android,16.74,13.0,16.0,128.0,4.0,4000.0,163.5,2019,376,4.839293241,5.250281918,4g
Huawei,Android,25.6,13.0,8.0,64.0,4.0,7500.0,498.0,2019,205,4.936629881,5.704781975,4g
Huawei,Android,20.42,13.0,8.0,128.0,6.0,6100.0,340.0,2019,406,5.294259143,5.856932654,4g
Huawei,Android,20.42,13.0,8.0,64.0,4.0,6100.0,320.0,2019,462,5.001190835,5.556287375,4g
Huawei,Android,16.23,13.0,32.0,128.0,8.0,3500.0,171.0,2019,333,5.428204627,5.9652489,4g
Huawei,Android,16.23,13.0,32.0,128.0,8.0,3500.0,171.0,2019,284,5.378560054,5.885520528,4g
Huawei,Android,15.34,13.0,24.0,128.0,6.0,4000.0,178.0,2019,202,5.058853866,5.562948291,4g
Huawei,Android,15.34,13.0,16.0,64.0,4.0,4000.0,178.0,2019,445,5.043683148,5.637785112,4g
Huawei,Android,16.74,13.0,16.0,64.0,4.0,4000.0,196.8,2019,375,4.607467545,5.638105528,4g
Huawei,Android,10.16,5.0,2.0,16.0,4.0,1700.0,136.1,2014,666,3.579343567,4.70311326,no
Huawei,Android,17.78,3.15,0.3,8.0,1.0,4100.0,350.0,2013,819,3.982295058,5.016551095,no
Infinix,Android,17.32,,8.0,32.0,2.0,6000.0,209.0,2020,245,4.282068168,4.59764192,4g
Infinix,Android,15.39,,8.0,64.0,4.0,5000.0,185.0,2020,173,4.363608049,4.711779921,4g
Infinix,Android,15.39,,8.0,32.0,2.0,5000.0,185.0,2020,256,4.181439269,4.505460342,4g
Infinix,Android,15.39,,16.0,32.0,3.0,4000.0,178.0,2019,316,4.555244377,4.602165677,4g
Infinix,Android,15.29,,16.0,32.0,2.0,4000.0,165.0,2019,468,4.416669578,4.871296595,4g
Lava,Android,14.5,,5.0,32.0,2.0,3200.0,150.0,2020,356,3.989909544,4.381026134,4g
Lava,Android,12.7,5.0,0.3,8.0,0.5,3000.0,147.6,2016,819,3.495598057,4.113002744,no
Lenovo,Android,25.43,8.0,5.0,32.0,3.0,7000.0,520.0,2020,233,4.726768158,5.20136584,4g
Lenovo,Android,25.43,8.0,5.0,64.0,4.0,7000.0,580.0,2019,419,5.214881408,5.775141434,no
Lenovo,Android,15.47,8.0,5.0,16.0,2.0,4000.0,172.0,2019,267,3.940610462,4.591071262,4g
Lenovo,Android,20.32,13.0,5.0,16.0,2.0,5100.0,305.0,2019,461,4.779375562,5.066133071,4g
Lenovo,Android,20.32,5.0,2.0,16.0,2.0,5000.0,305.0,2019,423,4.463721822,4.938064601,4g
Lenovo,Android,17.78,2.0,2.0,32.0,1.0,3590.0,236.0,2019,528,3.896096855,4.606768907,4g
Lenovo,Android,16.23,8.0,16.0,64.0,6.0,4000.0,159.0,2019,254,4.423648309,5.524974737,4g
Lenovo,Android,16.23,8.0,32.0,128.0,6.0,4000.0,185.0,2019,370,5.342812606,5.992264227,both
Lenovo,Android,15.32,8.0,16.0,64.0,4.0,4050.0,164.0,2019,482,4.676839473,5.062468443,4g
Lenovo,Android,25.43,8.0,8.0,16.0,2.0,8400.0,655.0,2016,691,5.056182109,5.191233144,4g
LG,Android,16.59,5.0,16.0,64.0,4.0,4000.0,196.5,2020,273,4.879082894,5.601491318,4g
LG,Android,15.44,5.0,13.0,64.0,3.0,4000.0,219.0,2020,349,4.350148896,5.299466706,4g
LG,Others,5.28,2.0,13.0,8.0,1.0,1470.0,127.0,2020,343,3.875566468,5.015689168,4g
LG,Android,15.44,5.0,10.0,128.0,8.0,5000.0,218.0,2020,352,4.734442522,6.768240306,both
LG,Android,15.44,5.0,10.0,128.0,8.0,5000.0,213.0,2020,142,5.476463552,6.55079458,both
LG,Android,15.37,5.0,13.0,32.0,3.0,4000.0,196.5,2020,92,4.636959508,5.481430277,4g
LG,Android,14.5,8.0,8.0,32.0,3.0,3450.0,170.0,2020,166,4.230767603,4.870683334,4g
LG,Android,25.43,8.0,5.0,32.0,4.0,8200.0,498.0,2019,329,4.709620287,5.82953368,4g
LG,Android,15.34,8.0,32.0,256.0,8.0,4000.0,192.0,2019,383,5.467680322,7.003174544,both
LG,Android,15.34,8.0,16.0,64.0,4.0,4000.0,198.0,2019,443,4.696928611,5.766225051,4g
LG,Android,13.84,8.0,5.0,16.0,2.0,3000.0,148.0,2019,257,4.255328982,4.944353031,4g
LG,Android,13.84,8.0,5.0,16.0,1.0,3000.0,152.0,2019,380,4.08933202,4.606369467,4g
LG,Android,15.27,8.0,13.0,32.0,2.0,3500.0,186.0,2019,255,4.64352514,5.082211493,4g
LG,Android,15.37,8.0,13.0,32.0,3.0,4000.0,194.0,2019,512,4.550608398,5.304299438,4g
LG,Android,15.8,8.0,16.0,64.0,4.0,4050.0,172.0,2019,223,4.461877016,5.248023572,4g
LG,Android,15.9,8.0,16.0,32.0,3.0,4000.0,175.0,2019,200,4.582310892,4.864607093,4g
LG,Android,15.72,8.0,8.0,32.0,3.0,4000.0,164.0,2019,210,4.373994463,4.694645192,4g
LG,Android,15.29,13.0,5.0,32.0,3.0,3500.0,179.0,2019,216,4.517649588,5.300415165,4g
LG,Android,15.29,16.0,5.0,64.0,4.0,3300.0,172.0,2018,724,4.887940214,5.704049106,4g
LG,Android,12.83,13.0,5.0,16.0,2.0,4500.0,171.0,2018,628,4.358630057,5.191066176,4g
LG,Android,7.62,2.0,1.3,4.0,0.5,1540.0,140.45,2014,750,3.027715319,3.925925911,no
Meizu,Android,15.39,,20.0,128.0,8.0,4500.0,199.0,2020,186,5.167866937,6.272027589,both
Meizu,Android,15.37,,16.0,128.0,6.0,4500.0,183.0,2019,449,4.665512415,5.526329049,4g
Meizu,Android,15.37,,8.0,32.0,2.0,4000.0,184.0,2019,190,4.290185431,5.195176608,4g
Meizu,Android,15.29,,20.0,128.0,6.0,3600.0,166.0,2019,459,4.721084811,5.830679408,4g
Meizu,Android,15.29,,16.0,64.0,6.0,4000.0,165.0,2019,517,4.842295535,5.388660686,4g
Meizu,Android,15.29,,20.0,128.0,6.0,3600.0,165.0,2019,332,4.959412173,6.040659391,4g
Micromax,Android,10.16,2.0,0.3,0.5,0.25,1500.0,146.5,2014,1016,3.043569603,3.926714554,no
Micromax,Android,7.75,0.3,0.3,0.5,0.25,1500.0,89.0,2014,956,2.386926241,3.664842876,no
Micromax,Android,10.03,2.0,0.3,0.2,0.25,2000.0,85.0,2013,680,2.856470206,4.244630641,no
Micromax,Android,10.16,2.0,0.3,16.0,4.0,2000.0,89.0,2013,733,3.108614431,4.094844437,no
Micromax,Android,7.75,0.3,0.3,16.0,4.0,2000.0,89.0,2013,1029,2.989714201,3.884240624,no
Motorola,Android,15.37,,16.0,128.0,6.0,5000.0,210.0,2020,242,4.829672813,5.704848573,4g
Motorola,Android,15.42,,25.0,256.0,12.0,5000.0,203.0,2020,220,5.186882886,7.090784918,both
Nokia,Android,16.56,0.3,8.0,64.0,3.0,4000.0,200.0,2020,310,4.186011751,5.004885462,4g
Nokia,Android,13.84,0.3,5.0,16.0,2.0,3000.0,180.0,2020,193,3.616308761,4.100160948,4g
Nokia,Android,13.84,0.3,5.0,16.0,2.0,3000.0,180.0,2020,356,4.055430469,4.591983624,4g
Nokia,Others,5.18,0.3,0.0,0.1,0.03,1020.0,90.5,2020,272,2.910174385,3.399863159,no
Nokia,Others,5.18,0.3,0.0,0.06,,1020.0,91.3,2020,288,2.729159164,2.911263117,no
Nokia,Android,17.3,0.3,24.0,64.0,6.0,4500.0,220.0,2020,284,5.314043067,6.216845593,both
Nokia,Others,5.18,0.3,0.0,0.06,0.02,1200.0,88.2,2020,266,3.370738174,3.699077279,no
Nokia,Others,5.18,0.3,0.0,,0.02,1200.0,86.5,2019,234,2.721295428,3.688379329,4g
OnePlus,Android,16.64,,16.0,128.0,8.0,4300.0,180.0,2020,110,5.620944196,6.609308811,both
OnePlus,Android,16.64,,16.0,128.0,8.0,4300.0,180.0,2020,208,5.288166015,6.474106722,both
OnePlus,Android,16.94,,16.0,256.0,12.0,4085.0,206.0,2019,458,5.713402718,6.686160528,both
OnePlus,Android,16.94,,16.0,128.0,6.0,4000.0,206.0,2019,294,5.670983763,6.686647155,both
Oppo,Android,16.64,,32.0,128.0,8.0,4000.0,172.0,2020,187,5.170881643,6.153455837,both
Oppo,Android,16.33,,32.0,128.0,8.0,4000.0,183.0,2020,271,5.009634794,5.910254492,both
Oppo,Android,16.69,,32.0,128.0,6.0,4000.0,184.0,2020,100,5.033895988,5.672842052,both
Oppo,Android,16.64,,16.0,128.0,8.0,4000.0,186.0,2020,186,5.116615618,6.253482598,both
Oppo,Android,15.29,,8.0,64.0,3.0,4230.0,168.0,2020,273,4.578312732,4.782479201,4g
Oppo,Android,15.34,,32.0,128.0,8.0,4025.0,180.0,2020,146,5.412315471,5.98838481,both
Oppo,Android,15.34,8.0,32.0,128.0,8.0,4025.0,181.0,2019,397,4.868380247,6.088023946,both
Oppo,Android,15.37,8.0,8.0,128.0,4.0,4230.0,180.0,2019,411,4.57037168,5.01588814,4g
Oppo,Android,15.34,8.0,25.0,128.0,6.0,3600.0,169.5,2019,276,4.936199063,5.632572862,4g
Oppo,Android,15.34,8.0,32.0,128.0,4.0,4035.0,186.0,2019,205,4.94178527,5.800667172,4g
Oppo,Android,16.59,8.0,16.0,128.0,6.0,4020.0,190.0,2019,321,4.656718448,5.556287375,4g
Oppo,Android,15.39,8.0,16.0,256.0,8.0,4065.0,215.0,2019,392,5.295613715,6.780830585,both
Oppo,Android,15.27,8.0,5.0,32.0,2.0,4000.0,170.0,2019,296,4.322011202,4.605670061,4g
Oppo,Android,15.29,13.0,8.0,32.0,3.0,4230.0,168.0,2018,664,4.457713717,5.437252881,4g
