iter	RMSE
0	12.24329741
1	12.07320471
2	11.9333076
3	11.79263271
4	11.63691503
5	11.45858349
6	11.31076299
7	11.17786232
8	11.01934229
9	10.88843475
10	10.76124357
11	10.63161708
12	10.52530662
13	10.40254968
14	10.2682962
15	10.13878737
16	10.01457736
17	9.88703674
18	9.77892121
19	9.673648586
20	9.552461966
21	9.452512035
22	9.366005791
23	9.251176485
24	9.166139945
25	9.078175744
26	8.941897506
27	8.841065239
28	8.740325488
29	8.661965334
30	8.565178934
31	8.448477954
32	8.349389128
33	8.230662221
34	8.12675177
35	8.038273839
36	7.947077563
37	7.873571447
38	7.774413285
39	7.681354558
40	7.604562682
41	7.505065135
42	7.408819959
43	7.307562211
44	7.228032817
45	7.126868247
46	7.020005845
47	6.943935499
48	6.861678708
49	6.7821229
50	6.711355693
51	6.639927789
52	6.559194958
53	6.487982046
54	6.430114848
55	6.363378431
56	6.294721665
57	6.225899561
58	6.156905118
59	6.083770812
60	6.012444285
61	5.961983352
62	5.88858775
63	5.821733912
64	5.757551093
65	5.690385435
66	5.622770642
67	5.562022654
68	5.501221513
69	5.451308673
70	5.399029537
71	5.340740253
72	5.278760433
73	5.208913995
74	5.149876959
75	5.093805127
76	5.0368932
77	4.981604082
78	4.923142188
79	4.881736884
80	4.833154902
81	4.782128351
82	4.715467872
83	4.659674025
84	4.6065713
85	4.551353714
86	4.51298775
87	4.4667517
88	4.428096631
89	4.384270457
90	4.344249847
91	4.296691425
92	4.245141724
93	4.194561268
94	4.147375478
95	4.101263193
96	4.061807059
97	4.030030778
98	3.991638275
99	3.961550651
100	3.919708155
101	3.867051691
102	3.835747371
103	3.792560561
104	3.751825843
105	3.710898275
106	3.675634827
107	3.650489785
108	3.607937356
109	3.567511056
110	3.525643551
111	3.486656764
112	3.442878057
113	3.39839209
114	3.360233731
115	3.328177326
116	3.293847385
117	3.263606037
118	3.230759633
119	3.196233055
120	3.167387655
121	3.145866206
122	3.119570861
123	3.081162635
124	3.058241156
125	3.026119715
126	3.000386026
127	2.964296519
128	2.934689078
129	2.907335176
130	2.875814617
131	2.848092548
132	2.824763732
133	2.791762521
134	2.766859249
135	2.732714376
136	2.704543547
137	2.673370129
138	2.64103439
139	2.618948186
140	2.589907442
141	2.569625541
142	2.546863671
143	2.520215688
144	2.496573651
145	2.467180035
146	2.44302968
147	2.42359955
148	2.396161375
149	2.377793024
150	2.355744698
151	2.337848537
152	2.315595364
153	2.295565522
154	2.273923045
155	2.256354134
156	2.240123144
157	2.214797379
158	2.202673708
159	2.181937135
160	2.161042439
161	2.146108181
162	2.124897753
163	2.106540381
164	2.084582247
165	2.067378357
166	2.044341427
167	2.024757223
168	2.008848464
169	1.988548661
170	1.9745272
171	1.96348076
172	1.947445706
173	1.927916951
174	1.912197754
175	1.900779644
176	1.885652396
177	1.865113491
178	1.852857987
179	1.84217352
180	1.82859136
181	1.812138202
182	1.798786203
183	1.784936749
184	1.768035722
185	1.753632541
186	1.740581587
187	1.725473583
188	1.709683783
189	1.692275211
190	1.6801693
191	1.6672644
192	1.651184186
193	1.635400025
194	1.619694925
195	1.606848651
196	1.594960807
197	1.583013616
198	1.568803053
199	1.55733667
200	1.545067306
201	1.533207903
202	1.519260326
203	1.51145496
204	1.49949654
205	1.487800414
206	1.47809723
207	1.466276528
208	1.452351109
209	1.43951457
210	1.424524817
211	1.416688956
212	1.405329431
213	1.396151707
214	1.388852829
215	1.377315538
216	1.365987521
217	1.352295101
218	1.34156734
219	1.331362116
220	1.321779837
221	1.311804223
222	1.303165858
223	1.293875728
224	1.283307039
225	1.273347756
226	1.266726762
227	1.256830783
228	1.248341947
229	1.239206886
230	1.231551099
231	1.225303879
232	1.217633487
233	1.207066196
234	1.197402665
235	1.191907162
236	1.184496899
237	1.173919813
238	1.164231087
239	1.155229076
240	1.146680706
241	1.140810187
242	1.131014792
243	1.121895379
244	1.115350508
245	1.107996312
246	1.101787572
247	1.093840177
248	1.084182778
249	1.077639413
250	1.067859874
251	1.058790217
252	1.052773448
253	1.047042804
254	1.041003182
255	1.035131181
256	1.026052418
257	1.021085148
258	1.012839325
259	1.004600854
260	1.00002191
261	0.9956892347
262	0.9878243559
263	0.9806145827
264	0.9761658216
265	0.9671438311
266	0.9595238615
267	0.9535265149
268	0.9465025051
269	0.9428057316
270	0.9377162193
271	0.9294724032
272	0.925556724
273	0.9206790005
274	0.9163252857
275	0.9088878521
276	0.9050327934
277	0.9009289195
278	0.8966563369
279	0.8926228345
280	0.8890188676
281	0.8823932369
282	0.8784522729
283	0.8745079915
284	0.8696394645
285	0.8627213812
286	0.855403463
287	0.8470799774
288	0.8431102639
289	0.8389562147
290	0.8337345375
291	0.8296928877
292	0.8262184296
293	0.8200747683
294	0.8165575206
295	0.8130427781
296	0.8095735339
297	0.8048714978
298	0.8016275816
299	0.7984416702
300	0.7930947465
301	0.7875481907
302	0.782662184
303	0.7792099801
304	0.7736935759
305	0.766765947
306	0.7634252296
307	0.7589545703
308	0.7544212507
309	0.7511487866
310	0.7479366553
311	0.7444391872
312	0.7415205898
313	0.7358592323
314	0.7331119001
315	0.7298824303
316	0.7243251111
317	0.7208648624
318	0.715360768
319	0.7120437039
320	0.7083613406
321	0.7057481409
322	0.7030280956
323	0.6996230147
324	0.6946288014
325	0.6899587416
326	0.6875984798
327	0.6851815541
328	0.6827240097
329	0.6799024037
330	0.6766875441
331	0.6735088759
332	0.6708951377
333	0.6684738044
334	0.665547571
335	0.6631639342
336	0.6607486546
337	0.6577906839
338	0.6549363681
339	0.6519666479
340	0.6491701763
341	0.6463191465
342	0.6434422337
343	0.6406229777
344	0.6378317319
345	0.6357081161
346	0.633202056
347	0.6309237873
348	0.6281802432
349	0.6254928483
350	0.6228022361
351	0.6201429857
352	0.6176217706
353	0.6155772024
354	0.6135392658
355	0.6115300647
356	0.6089841518
357	0.6070279814
358	0.6050561975
359	0.6026812653
360	0.6002011202
361	0.5982938372
362	0.595877817
363	0.5941140896
364	0.5917432525
365	0.5899053513
366	0.5881897368
367	0.5839768448
368	0.5816307742
369	0.5794397743
370	0.5772741612
371	0.5731504466
372	0.5709363507
373	0.5668791575
374	0.5647820432
375	0.5627093282
376	0.5606692511
377	0.5567249507
378	0.5528240608
379	0.5489660302
380	0.5473417803
381	0.5458189829
382	0.542024124
383	0.5404403407
384	0.5389557034
385	0.535139655
386	0.5336776074
387	0.529915916
388	0.5278726055
389	0.525850728
390	0.5221605112
391	0.5203134156
392	0.5167155952
393	0.5131568974
394	0.5117060772
395	0.5081954688
396	0.5068397779
397	0.5033761598
398	0.5020420759
399	0.4986247072
400	0.4944521132
401	0.4931459941
402	0.4898099581
403	0.4885246349
404	0.4843920842
405	0.4831260725
406	0.4818720448
407	0.4806299092
408	0.4773987142
409	0.4761764176
410	0.4721636497
411	0.4709598066
412	0.4678138076
413	0.4666291995
414	0.4635244496
415	0.4596478565
416	0.4584887077
417	0.4573406634
418	0.455369651
419	0.4523587046
420	0.4504258775
421	0.4474591014
422	0.4448101072
423	0.4421867354
424	0.439588693
425	0.4383005935
426	0.4354493958
427	0.4339405041
428	0.4305184122
429	0.4292714441
430	0.4274500958
431	0.4249581702
432	0.4224900905
433	0.419171479
434	0.4179661208
435	0.4165397481
436	0.4151280351
437	0.4127300299
438	0.4094961262
439	0.4081143244
440	0.4063931395
441	0.4040560156
442	0.401741031
443	0.3994479435
444	0.3981142351
445	0.3950057087
446	0.3939062921
447	0.392819937
448	0.3903455698
449	0.3887111029
450	0.3856869497
451	0.3840813935
452	0.3819070392
453	0.379524104
454	0.3765921262
455	0.3755594016
456	0.3740054054
457	0.3716876888
458	0.3693939097
459	0.3681445253
460	0.365196045
461	0.3639659181
462	0.3613106111
463	0.3600996621
464	0.3589017374
465	0.356293954
466	0.355114721
467	0.3524093159
468	0.3512491921
469	0.3485859086
470	0.3474444843
471	0.3463152813
472	0.3438225313
473	0.3427109184
474	0.3401310199
475	0.3389856631
476	0.336565568
477	0.3354402106
478	0.334327999
479	0.3318276887
480	0.3307338907
481	0.3296528967
482	0.3271987096
483	0.32613563
484	0.3237864517
485	0.3227425543
486	0.3217109134
487	0.3206914001
488	0.3183160936
489	0.3173135338
490	0.3149767849
491	0.3139908848
492	0.3117528477
493	0.3107848295
494	0.3098282354
495	0.3074470759
496	0.306692017
497	0.3059449747
498	0.3052058693
499	0.304474622
500	0.3022426703
501	0.3015228391
502	0.2994305161
503	0.2987219879
504	0.2980210172
505	0.2959641844
506	0.2952742339
507	0.293133571
508	0.292454472
509	0.2904086955
510	0.2897402918
511	0.2890790458
512	0.2870001839
513	0.2858721671
514	0.2838888566
515	0.2828972473
516	0.2808775044
517	0.2789878519
518	0.2781581478
519	0.2770698914
520	0.2751073897
521	0.274039294
522	0.2729875125
523	0.2713024909
524	0.270359173
525	0.2686995978
526	0.2670608659
527	0.2662725423
528	0.2652535179
529	0.2633981965
530	0.2623981268
531	0.2608096783
532	0.2600443544
533	0.2590657416
534	0.2575041583
535	0.2555358606
536	0.2545811224
537	0.2536409594
538	0.2517094493
539	0.2507892499
540	0.2498830825
541	0.2479875234
542	0.2471006167
543	0.2452749697
544	0.2434218511
545	0.2425605371
546	0.2417123229
547	0.2398935729
548	0.2394043325
549	0.2389202514
550	0.2384412027
551	0.236684537
552	0.2349123048
553	0.2344440505
554	0.2339806248
555	0.2335219897
556	0.232322061
557	0.2305904014
558	0.230142295
