iter	Passed	Remaining
0	132	131997
1	132	66327
2	133	44429
3	134	33479
4	135	26895
5	135	22454
6	136	19310
7	136	16967
8	137	15143
9	138	13684
10	138	12471
11	139	11459
12	139	10603
13	140	9879
14	140	9245
15	141	8684
16	141	8194
17	142	7755
18	142	7362
19	143	7008
20	143	6684
21	143	6391
22	144	6127
23	144	5884
24	145	5659
25	145	5452
26	146	5263
27	146	5085
28	146	4921
29	147	4764
30	147	4618
31	148	4483
32	148	4355
33	148	4232
34	149	4116
35	149	4007
36	150	3905
37	150	3808
38	150	3716
39	151	3629
40	151	3545
41	151	3467
42	152	3392
43	152	3319
44	153	3254
45	154	3195
46	154	3131
47	154	3072
48	159	3091
49	163	3108
50	169	3147
51	171	3128
52	172	3090
53	174	3056
54	175	3016
55	176	2978
56	177	2940
57	178	2902
58	179	2864
59	180	2829
60	181	2793
61	182	2760
62	183	2726
63	184	2691
64	184	2658
65	185	2625
66	186	2592
67	186	2562
68	187	2531
69	188	2502
70	189	2474
71	189	2444
72	190	2415
73	190	2387
74	191	2360
75	191	2332
76	192	2305
77	192	2278
78	193	2251
79	193	2226
80	193	2200
81	194	2176
82	194	2152
83	195	2129
84	196	2114
85	197	2096
86	197	2075
87	202	2099
88	207	2123
89	213	2163
90	215	2154
91	217	2145
92	219	2136
93	220	2126
94	221	2109
95	223	2107
96	226	2105
97	227	2098
98	230	2093
99	230	2077
100	232	2066
101	232	2049
102	233	2037
103	234	2021
104	235	2007
105	236	1997
106	237	1983
107	238	1972
108	239	1956
109	240	1946
110	241	1932
111	241	1918
112	242	1902
113	242	1887
114	243	1872
115	243	1857
116	244	1843
117	244	1828
118	245	1814
119	245	1802
120	246	1790
121	246	1777
122	247	1763
123	247	1750
124	248	1737
125	248	1724
126	249	1712
127	249	1701
128	250	1689
129	250	1678
130	251	1668
131	252	1659
132	253	1651
133	253	1640
134	254	1628
135	254	1617
136	255	1606
137	255	1595
138	255	1584
139	256	1574
140	256	1564
141	257	1554
142	257	1544
143	258	1535
144	258	1524
145	259	1515
146	259	1506
147	260	1497
148	260	1487
