iter	Passed	Remaining
0	191	190996
1	200	100227
2	208	69270
3	215	53658
4	222	44214
5	229	38020
6	236	33583
7	242	30122
8	249	27457
9	255	25284
10	261	23505
11	267	22046
12	273	20782
13	279	19703
14	286	18802
15	292	18001
16	298	17275
17	304	16629
18	310	16032
19	316	15531
20	323	15067
21	328	14616
22	334	14211
23	340	13853
24	346	13514
25	352	13207
26	357	12900
27	363	12618
28	369	12357
29	375	12127
30	381	11913
31	386	11704
32	392	11511
33	398	11326
34	404	11150
35	410	10985
36	416	10843
37	423	10713
38	431	10620
39	449	10783
40	459	10747
41	468	10681
42	475	10583
43	482	10476
44	488	10358
45	493	10239
46	515	10451
47	525	10426
48	534	10371
49	541	10290
50	548	10200
51	554	10101
52	560	10006
53	566	9918
54	572	9828
55	578	9743
56	583	9660
57	590	9585
58	596	9515
59	603	9451
60	609	9386
61	615	9313
62	622	9256
63	628	9188
64	634	9120
65	639	9054
66	647	9012
67	653	8952
68	659	8900
69	665	8836
70	671	8780
71	676	8721
72	682	8665
73	688	8614
74	694	8561
75	700	8513
76	706	8470
77	712	8422
78	718	8375
79	724	8331
80	730	8286
81	738	8262
82	743	8216
83	752	8202
84	758	8165
85	765	8131
86	772	8105
87	778	8070
88	786	8047
89	792	8012
90	795	7941
91	803	7930
92	810	7907
93	820	7905
94	826	7873
95	833	7846
96	839	7811
97	844	7777
98	851	7752
99	857	7716
100	862	7680
101	869	7652
102	874	7619
103	881	7595
104	887	7563
105	892	7529
106	899	7510
107	906	7485
108	912	7457
109	919	7439
110	925	7410
111	932	7392
112	938	7363
113	944	7337
114	951	7321
115	956	7292
116	965	7283
117	970	7255
118	976	7232
119	984	7216
120	990	7194
121	1000	7197
122	1007	7183
123	1015	7175
124	1021	7153
125	1029	7141
126	1035	7120
127	1042	7101
128	1049	7086
129	1056	7068
130	1063	7056
131	1069	7035
132	1077	7022
133	1084	7008
134	1090	6987
135	1097	6971
136	1103	6951
137	1111	6941
138	1117	6919
139	1122	6894
140	1131	6892
141	1139	6884
142	1147	6877
143	1153	6859
144	1162	6852
145	1168	6832
146	1174	6815
147	1181	6802
148	1187	6782
149	1195	6774
150	1201	6755
151	1209	6748
152	1217	6739
153	1226	6740
154	1233	6724
155	1241	6716
156	1248	6701
157	1255	6692
158	1264	6688
159	1271	6677
160	1278	6663
161	1284	6646
162	1291	6632
163	1297	6613
164	1303	6596
165	1310	6581
166	1317	6570
167	1323	6555
168	1329	6535
169	1334	6517
170	1340	6500
171	1346	6482
172	1352	6464
173	1358	6449
174	1363	6430
175	1369	6413
176	1376	6399
177	1382	6382
178	1387	6365
179	1393	6350
180	1399	6332
181	1405	6318
182	1411	6301
183	1416	6283
184	1422	6268
185	1429	6255
186	1436	6244
187	1441	6227
188	1447	6209
189	1453	6194
190	1458	6178
191	1463	6160
192	1470	6146
193	1475	6129
194	1481	6113
195	1487	6100
196	1493	6085
197	1498	6070
198	1504	6055
199	1510	6040
200	1517	6032
201	1523	6016
202	1528	6002
203	1534	5988
204	1540	5975
205	1546	5962
206	1552	5946
207	1557	5932
208	1563	5917
209	1569	5905
210	1575	5890
211	1580	5875
212	1586	5862
213	1591	5846
214	1597	5833
215	1603	5819
216	1608	5805
217	1614	5792
218	1620	5780
219	1627	5768
220	1634	5761
221	1640	5750
222	1647	5740
223	1653	5728
224	1660	5717
225	1666	5708
226	1672	5695
227	1678	5684
228	1685	5673
229	1690	5660
230	1699	5656
231	1707	5651
232	1714	5643
233	1720	5630
234	1726	5620
235	1732	5607
236	1737	5594
237	1743	5583
238	1749	5570
239	1754	5556
240	1759	5542
241	1765	5529
242	1771	5519
243	1777	5507
244	1782	5494
245	1788	5482
246	1793	5468
247	1799	5455
248	1804	5443
249	1810	5430
250	1815	5419
251	1822	5408
252	1828	5397
253	1835	5390
254	1842	5383
255	1849	5375
256	1856	5366
257	1862	5356
258	1868	5344
259	1895	5395
260	1901	5384
261	1911	5384
262	1917	5372
263	1923	5363
264	1929	5352
265	1936	5343
266	1943	5334
267	1949	5323
268	1954	5312
269	1961	5303
270	1967	5291
271	1974	5284
272	1980	5273
273	1985	5261
274	1993	5254
275	1999	5243
276	2004	5233
277	2011	5224
278	2017	5213
279	2023	5203
280	2029	5193
281	2035	5181
282	2042	5175
283	2048	5164
284	2054	5155
285	2060	5145
286	2067	5135
287	2074	5128
288	2079	5117
289	2085	5106
290	2092	5097
291	2097	5086
292	2105	5080
293	2111	5071
294	2118	5063
295	2125	5054
296	2131	5045
297	2139	5039
298	2144	5028
299	2149	5016
300	2157	5009
