1,"[Ganache Cookie, Apple Pie]","[Almond Twist, Hot Coffee, Coffee Eclair]"
6,"[Strawberry Cake, Chocolate Croissant, Casino Cake]","[Napoleon Cake, Chocolate Coffee, Chocolate Cake]"
12,"[Almond Twist, Ganache Cookie, Opera Cake, Single Espresso, Casino Cake, Raspberry Lemonade, Apple Pie]","[Hot Coffee, Coffee Eclair, Green Tea, Raspberry Cookie, Lemon Cookie, Lemon Lemonade, Chocolate Coffee, Chocolate Cake, Apricot Danish, Cherry Tart, Blackberry Tart]"
13,"[Opera Cake, Green Tea, Chocolate Tart, Cherry Soda]","[Apple Croissant, Apple Tart, Apple Danish, Walnut Cookie, Vanilla Frappuccino, Apricot Danish, Cherry Tart, Raspberry Lemonade, Lemon Cookie, Raspberry Cookie, Lemon Lemonade]"
16,"[Pecan Tart, Casino Cake, Cherry Soda, Chocolate Coffee, Chocolate Cake]","[Apple Croissant, Apple Tart, Apple Danish]"
22,"[Coffee Eclair, Blackberry Tart, Single Espresso]","[Apple Pie, Almond Twist]"
26,"[Blueberry Tart, Truffle Cake, Hot Coffee, Pecan Tart, Vanilla Eclair, Blueberry Danish, Lemon Tart, Chocolate Meringue]","[Lemon Cake, Gongolais Cookie, Apricot Croissant, Apple Pie, Coffee Eclair, Almond Twist]"
27,"[Gongolais Cookie, Apricot Croissant, Apricot Tart, Lemon Cookie, Cheese Croissant]","[Truffle Cake, Orange Juice, Hot Coffee, Blueberry Tart, Green Tea, Raspberry Cookie, Raspberry Lemonade, Lemon Lemonade]"
28,"[Bottled Water, Berry Tart]",[]
31,"[Tuile Cookie, Vanilla Eclair, Marzipan Cookie]",[]
34,"[Coffee Eclair, Blackberry Tart, Single Espresso]","[Apple Pie, Almond Twist]"
44,"[Berry Tart, Lemon Tart]","[Lemon Cake, Bottled Water]"
47,"[Vanilla Meringue, Chocolate Coffee, Chocolate Cake]",[Casino Cake]
52,"[Casino Cake, Chocolate Coffee, Chocolate Cake]",[]
53,"[Strawberry Cake, Napoleon Cake]",[]
65,"[Vanilla Meringue, Lemon Cake]",[Lemon Tart]
76,"[Raspberry Cookie, Green Tea, Lemon Lemonade, Raspberry Lemonade, Lemon Cookie]",[]
78,"[Truffle Cake, Gongolais Cookie, Apple Croissant, Raspberry Lemonade]","[Cherry Soda, Apple Tart, Apple Danish, Green Tea, Raspberry Cookie, Lemon Cookie, Lemon Lemonade]"
81,[Chocolate Cake],"[Chocolate Coffee, Casino Cake]"
85,"[Vanilla Frappuccino, Truffle Cake, Gongolais Cookie, Raspberry Lemonade]","[Green Tea, Raspberry Cookie, Lemon Cookie, Lemon Lemonade, Walnut Cookie, Chocolate Tart]"
86,"[Blueberry Tart, Hot Coffee, Apricot Croissant, Blueberry Danish]","[Apple Pie, Coffee Eclair, Almond Twist]"
